time,node0,node1,node2,node3
2317,0.051864,0.05843,0.048065,0.043904
2321,0.051484,0.058543,0.04853,0.042952
2325,0.051057,0.058878,0.049159,0.042713
2329,0.051615,0.058451,0.048335,0.043829
2333,0.051314,0.059523,0.048371,0.043074
2337,0.050753,0.059361,0.048533,0.043637
2341,0.050783,0.058793,0.047407,0.043256
2345,0.050959,0.058621,0.047817,0.04355
2349,0.050195,0.058827,0.049024,0.04372
2353,0.050421,0.057945,0.048478,0.043306
2357,0.049994,0.05782,0.048046,0.043034
2361,0.049327,0.057788,0.048512,0.043204
2365,0.049667,0.058573,0.048006,0.043333
2369,0.049652,0.057913,0.04927,0.042578
2373,0.049161,0.057679,0.048542,0.042173
2377,0.049075,0.057103,0.048594,0.042491
2381,0.048987,0.057787,0.049198,0.042464
2385,0.048698,0.057058,0.048311,0.042321
2389,0.048722,0.058523,0.050165,0.043557
2393,0.048415,0.057255,0.04906,0.042302
2397,0.048668,0.057914,0.043779,0.046984
2401,0.048336,0.057715,0.043802,0.046795
2405,0.04899,0.057886,0.043908,0.047178
2409,0.04875,0.056874,0.05056,0.042418
2413,0.048735,0.05672,0.048015,0.042766
2417,0.048531,0.057807,0.047709,0.042986
2421,0.051082,0.059641,0.047602,0.042998
2425,0.048622,0.057054,0.04732,0.04383
2429,0.047276,0.057655,0.048256,0.043213
2433,0.047832,0.058176,0.047459,0.043923
2437,0.047309,0.057626,0.048093,0.044305
2441,0.047186,0.057869,0.048494,0.044113
2445,0.047017,0.057124,0.047961,0.043644
2449,0.048106,0.058402,0.047377,0.044044
2453,0.047671,0.05846,0.047798,0.042474
2457,0.047534,0.05762,0.047824,0.043379
2461,0.047068,0.057585,0.047502,0.043997
2465,0.047729,0.058624,0.048624,0.042815
