time,node0,node1
5014,0.045877,0.059965
5015,0.045698,0.05996
5016,0.045658,0.059557
5017,0.045654,0.059513
5018,0.045882,0.059568
5019,0.045896,0.059923
5020,0.046614,0.060053
5021,0.045715,0.059019
5022,0.046143,0.059208
5023,0.045991,0.059535
5024,0.045957,0.059619
5025,0.046093,0.059914
5026,0.045498,0.058621
5027,0.045575,0.059214
5028,0.045857,0.059277
5029,0.045946,0.058844
5030,0.045726,0.058976
5031,0.045191,0.061311
5032,0.045832,0.060102
5033,0.045611,0.059488
5034,0.045661,0.059451
5035,0.045351,0.059082
5036,0.051704,0.05301
5037,0.051496,0.043317
5038,0.045497,0.059189
5039,0.04645,0.05909
5040,0.045309,0.058961
5041,0.051363,0.043498
5042,0.051878,0.043491
5043,0.04544,0.059739
5044,0.045597,0.059074
5045,0.045606,0.05888
5046,0.051508,0.043615
5047,0.052016,0.043976
5048,0.051945,0.044242
5049,0.051013,0.042808
5050,0.050945,0.042676
5051,0.051504,0.042718
5052,0.05153,0.043323
5053,0.051386,0.043181
5054,0.050867,0.043541
5055,0.050803,0.043828
5056,0.050691,0.04324
5057,0.050328,0.042683
5058,0.050029,0.042915
5059,0.05045,0.042953
5060,0.050239,0.04268
5061,0.050378,0.042527
5062,0.050277,0.042795
5063,0.050322,0.042683
5064,0.050581,0.042746
5065,0.05056,0.044106
5066,0.051141,0.042749
5067,0.051573,0.043055
5068,0.051238,0.04293
5069,0.050723,0.043193
5070,0.050797,0.042928
5071,0.051022,0.043044
5072,0.050978,0.053705
5073,0.051126,0.05305
5074,0.050857,0.053082
5075,0.051265,0.053211
5076,0.050897,0.043249
5077,0.051217,0.043238
5078,0.051271,0.053204
5079,0.050925,0.052567
5080,0.050318,0.05342
5081,0.051047,0.053634
5082,0.051069,0.052601
5083,0.050711,0.052905
5084,0.050589,0.052296
5085,0.050677,0.052985
5086,0.050604,0.05369
5087,0.050975,0.053187
5088,0.051024,0.05365
5089,0.051451,0.053645
5090,0.050758,0.053188
5091,0.050578,0.053653
5092,0.050937,0.053333
5093,0.050562,0.052837
5094,0.051191,0.052864
5095,0.051198,0.052918
5096,0.051337,0.054906
5097,0.051027,0.055299
5098,0.05141,0.053077
5099,0.051759,0.054712
5100,0.052239,0.053006
5101,0.055178,0.053776
5102,0.050607,0.053123
5103,0.05134,0.051841
5104,0.050659,0.053828
5105,0.051186,0.053534
5106,0.050659,0.051939
5107,0.050678,0.052527
5108,0.051317,0.053601
5109,0.050832,0.053597
5110,0.05137,0.053278
5111,0.050992,0.053444
5112,0.052673,0.052697
5113,0.050883,0.053574
5114,0.051519,0.053684
5115,0.051435,0.053123
5116,0.051885,0.053658
5117,0.051293,0.054018
5118,0.051024,0.05336
5119,0.051761,0.053701
5120,0.051681,0.053447
5121,0.051463,0.053649
5122,0.050866,0.053605
5123,0.050974,0.053873
5124,0.050562,0.053902
5125,0.050392,0.054171
5126,0.050694,0.053979
5127,0.051011,0.053568
5128,0.051057,0.053947
5129,0.050857,0.053792
5130,0.050706,0.054053
5131,0.051539,0.054325
5132,0.051227,0.053928
5133,0.05091,0.053853
5134,0.050905,0.053648
5135,0.050768,0.052692
5136,0.050367,0.052671
5137,0.051136,0.053567
5138,0.051,0.05361
5139,0.050632,0.052932
5140,0.051516,0.052699
5141,0.050786,0.053414
5142,0.051087,0.0531
5143,0.051566,0.052649
5144,0.051259,0.053789
5145,0.052269,0.053605
5146,0.051699,0.053145
5147,0.051425,0.053975
5148,0.051187,0.054389
5149,0.051035,0.054365
5150,0.051742,0.053791
5151,0.051578,0.054688
5152,0.051838,0.053859
5153,0.051438,0.054548
5154,0.051903,0.05425
5155,0.052465,0.054746
5156,0.051626,0.054217
5157,0.051519,0.054684
5158,0.05206,0.054672
5159,0.051246,0.054001
5160,0.051823,0.054713
5161,0.05139,0.054191
5162,0.051403,0.054506
5163,0.051428,0.054473
5164,0.051748,0.054467
5165,0.052015,0.05338
5166,0.051694,0.05395
5167,0.051626,0.054451
5168,0.051559,0.053888
5169,0.054977,0.055344
5170,0.052141,0.053688
5171,0.051852,0.054044
5172,0.051737,0.053974
5173,0.044904,0.059454
5174,0.04595,0.060745
5175,0.045661,0.059835
5176,0.045495,0.059574
5177,0.045598,0.059838
5178,0.045531,0.059195
5179,0.045783,0.06007
5180,0.045366,0.05984
5181,0.045359,0.060145
5182,0.045584,0.060435
5183,0.045167,0.060133
5184,0.045318,0.060489
5185,0.046016,0.060488
5186,0.045201,0.060107
5187,0.044996,0.060374
5188,0.046028,0.06255
5189,0.04545,0.060105
5190,0.045697,0.060143
5191,0.045746,0.060132
5192,0.044978,0.060481
5193,0.045945,0.060001
5194,0.045539,0.059996
5195,0.045908,0.06052
5196,0.045868,0.060572
5197,0.045025,0.06134
5198,0.045002,0.061685
5199,0.04516,0.061165
5200,0.045243,0.061162
5201,0.045193,0.061079
5202,0.045235,0.061255
5203,0.045707,0.060809
5204,0.045582,0.060755
5205,0.045611,0.06047
5206,0.045277,0.061429
5207,0.045182,0.06132
5208,0.044924,0.061178
5209,0.044957,0.061317
5210,0.045003,0.061551
5211,0.044683,0.062028
5212,0.045558,0.06122
5213,0.045538,0.061393
5214,0.04578,0.061778
5215,0.045786,0.061224
5216,0.044885,0.06149
5217,0.045593,0.060688
5218,0.052599,0.053835
5219,0.051886,0.053673
5220,0.052165,0.054073
5221,0.052407,0.053893
